易容	王者之劍	?M=book&P=14V7	嘉明製作 2014/10/3 (1442K)
易容	河嶽點將錄	?M=book&P=14X2	嘉明製作 2014/10/3 (837K)
易容	鑄劍師	?M=book&P=17G9	嘉明製作 2017/8/4 (275K) Gilbert勘誤16處 2017/9/1
易容	雙劍傳說	?M=book&P=17H8	嘉明製作 2017/8/4 (195K) Gilbert勘誤9處 2017/10/6
金庸新	九陰九陽	?M=book&P=14BB2	嘉明製作 2014/11/7 (850K) 簡華特勘誤153處 2017/2/3
金庸新	大俠風清揚	?M=book&P=14BC4	嘉明製作 2014/12/5 (726K) 簡華特勘誤215處 2017/2/3
墨餘生	瓊海騰蛟	?M=book&P=15F6	嘉明製作 2015/5/1 (910K) ED2015勘誤 2015/6/5
墨餘生	海天情侶	?M=book&P=15G6	嘉明製作 2015/5/1 (970K) ED2015勘誤 2015/5/1
翔子	放縱劍魂	?M=book&P=17Y8	嘉明製作 2017/12/1 (840K)
秋夢痕	血旗震山河	?M=book&P=16Q9	嘉明製作 2016/12/2 (725K)
戊戟	江湖傳奇	?M=book&P=14Y9	嘉明製作 2014/11/7 (2004K) 敖先榮勘誤 2015/1/2
秦紅	九龍燈	?M=book&P=14S7	嘉明製作 2014/9/5 (930K) 敖先榮勘誤 2015/2/6
曹若冰	金劍寒梅	?M=book&P=13I0	嘉明製作 2013/9/20 (798K) 難兄難弟勘誤 2014/9/5
高庸	殘劍孤星	?M=book&P=1192	嘉明製作 2011/6/17 (974K) 難兄難弟、ED2015勘誤 2015/3/6
高庸	胭脂寶刀	?M=book&P=1533	嘉明製作 2015/2/6 (974K)
高庸	旋風十八騎	?M=book&P=1597	嘉明製作 2015/3/6 (748K) 廖德強勘誤11處 2017/4/7
蘇素	寶器江湖	?M=book&P=1643	嘉明製作 2016/3/4 (485K)
歐陽雲飛	魔中俠	?M=book&P=1110	嘉明製作 2011/1/21 (1379K)
于東樓	短刀行	?M=Share&P=10K5	陳偉森製作 2010/8/22 (563K) giff勘誤5處 2017/7/7
岳勇	追夢神捕	?M=book&P=13B0	Smiley製作 2013/5/3 (53K) 敖先榮勘誤 2013/5/17
岳勇	龍虎風雲	?M=book&P=13F8	嘉明製作 2013/8/16 (315K) 敖先榮勘誤 2013/8/30
岳勇	神劍山莊	?M=book&P=14N7	嘉明製作 2014/7/4 (460K)
白羽	偷拳	?M=book&P=1379	null
朱貞木	羅剎夫人	?M=Share&P=0929	陳偉森製作 2009/8/31 (633K) 敖先榮勘誤 2012/11/2
蕭鼎	誅仙	?M=Share&P=0990	null
梁羽生	女帝奇英傳	?M=book&P=35	美格騰製作 2003/7/15 (785K) YSG勘誤 2015/8/7
梁羽生	大唐游俠傳	?M=book&P=13G9	邱應琦校正 2013/8/30 (942K) giff勘誤7處 2017/5/5
梁羽生	龍鳳寶釵緣	?M=Share&P=0985	嘉明製作  2009/10/14 (1200K) 嘉明補缺 2015/9/4
梁羽生	慧劍心魔	?M=Share&P=1067	嘉明製作 2010/3/22 (1092K) mPDB勘誤 2014/3/7
梁羽生	武林天驕	?M=Share&P=09B3	嘉明製作 2009/11/9 (674K) giff勘誤66處 2016/12/2
梁羽生	飛鳳潛龍	?M=Share&P=1046	嘉明製作 2010/2/26 (126K) giff勘誤1處 2017/8/4
梁羽生	狂俠天驕魔女	?M=Share&P=1074	嘉明製作 2010/4/5 (2810K) YSG勘誤 2015/8/7
梁羽生	瀚海雄風	?M=Share&P=1064	嘉明製作 2010/3/19 (1256K) 揚帆、ED2015勘誤 2015/5/1
梁羽生	鳴鏑風雲錄	?M=Share&P=10L6	嘉明製作 2010/9/2 (2437K) ED2015勘誤 2015/2/6
