瓊瑤	窗外	?M=book&P=320	美格騰製作 2003/11/23 (350K) durianboy勘誤4處 2016/12/2
蘇偉貞	沉默之島	?M=book&P=578	陳偉森製作 2010/5/12 (247K) mPDB勘誤 2012/1/18
梁羽生	白髮魔女傳	?M=book&P=438	guinness校正 2013/1/18 (815K) 簡華特勘誤25處 2017/11/3
朱天心	古都	?M=book&P=557	邱子軒製作 2008/11/1 (209K) Alvin勘誤與補充 2014/3/7
陳若曦	尹縣長	?M=book&P=546	2008/4/13 (161K) Joy勘誤 2013/6/14
張大春	四喜憂國	?M=book&P=450	邱五製作 2017/5/5 (250K) sue1289勘誤14處 2017/6/2
亦舒	喜寶	?M=book&P=400	eagle.rex、sue1289校正 2011/10/15 (313K) Amy勘誤4處、sue1289勘誤28處 2017/5/5
張賢亮	男人的一半是女人	?M=book&P=503	美格騰製作 2006/11/12 (269K) mPDB勘誤9處 2017/7/7
施蟄存	將軍底頭	?M=book&P=452	美格騰製作 2005/12/24 (42K) A Yung勘誤 2014/6/6
倪匡	藍血人	?M=book&P=89	Lin Lee校正 2013/12/6 (404K) (404K)
吳趼人	二十年目睹之怪現狀	?M=book&P=569	k.p.lee製作 2009/8/30 (1088K) 蔡佩伶勘誤 2013/10/11
余華	活著	?M=book&P=471	大奇校正 2015/6/5 (197K) 平步青雲勘誤1處 2016/7/1
馬原	岡底斯的誘惑	?M=book&P=555	邱子軒製作 2008/10/25 (66K) 大奇勘誤18處 2016/2/5
無名氏	北極風情畫	?M=book&P=548	sue1289校正 2011/12/27 (217K) 大奇按原書勘誤17處 2016/8/5
